0.81 1.60033 2.54526 0.870975 2.50088 0.777603 2.55579 -0.216272 2.58285 -0.054183 2.5343 -0.477426 2.59749 -0.889534 2.60332 -0.615253 2.55659 -0.867056 2.61385 -1.25464 2.57296 -1.226 2.53208 -1.54513 2.58307 -1.93413 2.53924 -1.99152 2.5017 -2.43576 2.5572 -2.66864 2.52904 -2.90771 2.49895 -3.11453 2.55965
0.85 1.92559 2.59113 1.12164 2.54385 0.996132 2.60251 -0.105815 2.62487 0.0649941 2.57417 -0.413379 2.63985 -0.869634 2.64304 -0.575361 2.5936 -0.843861 2.65421 -1.25782 2.61495 -1.2182 2.57117 -1.56327 2.62638 -1.96054 2.58223 -2.02988 2.54246 -2.48893 2.60272 -2.71971 2.56866 -2.97749 2.53842 -3.20247 2.6036
0.89 2.25798 2.63311 1.37883 2.58302 1.2176 2.64527 0.0110183 2.66336 0.185698 2.61056 -0.349449 2.67874 -0.848701 2.67943 -0.534733 2.62738 -0.820359 2.69123 -1.26123 2.65335 -1.21019 2.6068 -1.58027 2.66604 -1.98594 2.62142 -2.06676 2.57961 -2.54037 2.6444 -2.76777 2.60445 -3.04491 2.57433 -3.28647 2.64401
0.93 2.59477 2.6715 1.64044 2.61871 1.44036 2.6844 0.133625 2.69861 0.307173 2.64377 -0.285897 2.71444 -0.826523 2.71276 -0.493603 2.65822 -0.796632 2.72516 -1.26481 2.68847 -1.20191 2.63926 -1.59611 2.70234 -2.01038 2.65713 -2.10214 2.61344 -2.59007 2.68256 -2.81302 2.6367 -3.11001 2.60701 -3.36669 2.68118
0.97 2.93348 2.70659 1.90445 2.65121 1.66292 2.72019 0.261352 2.73088 0.428724 2.67407 -0.222957 2.74719 -0.802923 2.74326 -0.452192 2.68635 -0.772762 2.75625 -1.26848 2.72058 -1.19329 2.66884 -1.61081 2.73556 -2.03393 2.68965 -2.13602 2.64425 -2.63799 2.7175 -2.85566 2.66571 -3.1728 2.63674 -3.44329 2.71537
1.01 3.27181 2.73866 2.16902 2.6808 1.88392 2.75291 0.393514 2.76042 0.54972 2.70171 -0.160832 2.77721 -0.777769 2.77117 -0.410709 2.71203 -0.748831 2.78475 -1.27218 2.74991 -1.1843 2.69577 -1.62436 2.76594 -2.05665 2.71924 -2.16839 2.67228 -2.68411 2.74948 -2.89587 2.69175 -3.2333 2.66379 -3.51642 2.74685
1.05 3.60775 2.76794 2.43248 2.70773 2.10217 2.78283 0.529401 2.78744 0.669602 2.72692 -0.0996934 2.80473 -0.750972 2.79671 -0.369347 2.73545 -0.724923 2.81085 -1.27582 2.77671 -1.17493 2.72028 -1.6368 2.79372 -2.07858 2.74614 -2.19924 2.69777 -2.72843 2.77876 -2.93382 2.71507 -3.29151 2.68842 -3.5862 2.77585
1.09 3.93952 2.79467 2.69328 2.73223 2.31659 2.81017 0.668292 2.81216 0.787881 2.7499 -0.0396769 2.82994 -0.722482 2.82006 -0.328281 2.75682 -0.701118 2.83476 -1.27931 2.80119 -1.16518 2.74259 -1.64813 2.81912 -2.09977 2.7706 -2.22857 2.72093 -2.77092 2.80556 -2.96968 2.73591 -3.34747 2.71084 -3.65277 2.80257
1.13 4.26559 2.81905 2.95008 2.75452 2.52627 2.83514 0.809472 2.83477 0.904137 2.77086 0.0191129 2.85303 -0.69229 2.84141 -0.287669 2.77633 -0.677492 2.85666 -1.28259 2.82353 -1.15505 2.76288 -1.6584 2.84233 -2.12026 2.7928 -2.25637 2.74198 -2.81158 2.83008 -3.0036 2.75449 -3.40119 2.73126 -3.71625 2.82721
1.17 4.58467 2.8413 3.20165 2.77479 2.73043 2.85795 0.952233 2.85543 1.01801 2.78996 0.0766015 2.87415 -0.660422 2.86093 -0.247644 2.79412 -0.654117 2.87671 -1.28556 2.84392 -1.14457 2.78134 -1.66763 2.86353 -2.14007 2.81296 -2.28267 2.76109 -2.85043 2.85252 -3.03571 2.771 -3.45269 2.74987 -3.77674 2.84995
